Título,Autor,ISBN,Año,Precio,Precio_Num,Estado
Pinocho,N/A,9788491421337,N/A,"S/ 49,90",4990.0,Disponible
Pinocho,"Collodi, Carlo",9788491456865,2023,"S/ 70,00",7000.0,Disponible
Descubre y lee: Pinocho,AA. VV.,9786075772776,2025.0,"S/ 59,00",5900.0,Disponible
Pop Up. Pinocho,AA. VV.,9786313071364,2025.0,"S/ 49,00",4900.0,Disponible
Crece con Pinocho,AA. VV.,9788466244985,2025.0,"S/ 40,00",4000.0,Disponible
Clásicos desplegables. Pinocho,AA. VV.,9788490054468,2023,"S/ 49,00",4900.0,Disponible
Las aventuras de Pinocho,"Collodi, Carlo y Gamón, Alberto",9788410200647,2024.0,"S/ 139,00",13900.0,Disponible
Las aventuras de Pinocho,"Collodi, Carlo",9788491056584,2022,"S/ 49,00",4900.0,Disponible
Las Aventuras de Pinocho - Ilustrado,"Collodi, Carlo; Brax, Justine",9788414016923,2018,"S/ 139,00",13900.0,Disponible
Pinocho y sus aventuras por el Amazonas,"Collodi, Carlo y",9786124301803,2019,"S/ 43,00",4300.0,Disponible
