titulo,anio,editorial,doi
Quantum Microscopy of Biological Systems,2015,Springer International Publishing,10.1007/978-3-319-18938-3
Excelling in the Clinic,2022,Springer International Publishing,10.1007/978-3-030-99415-0
Process-Oriented Dynamic Capabilities,2014,Springer International Publishing,10.1007/978-3-319-03251-1
Democracy and Judicial Reforms in South-East Europe,2014,Springer International Publishing,10.1007/978-3-319-04420-0
Dichter bij diabetes,2015,Bohn Stafleu van Loghum,10.1007/978-90-368-1053-1
Klinische Geriatrie,2000,Springer Berlin Heidelberg,10.1007/978-3-642-59691-9
Verfahrenstechnik in Beispielen,2014,Springer Fachmedien Wiesbaden,10.1007/978-3-658-02740-7
Erfolgsfaktor Eigenpositionierung,2014,Springer Fachmedien Wiesbaden,10.1007/978-3-658-02858-9
Secularism in Comparative Perspective,2023,Springer International Publishing,10.1007/978-3-031-13310-7
Custom Widgets in Android Studio,2022,Apress,10.1007/978-1-4842-9080-4
Bayesian Statistics from Methods to Models and Applications,2015,Springer International Publishing,10.1007/978-3-319-16238-6
Ernährung im Alter,2024,Springer Berlin Heidelberg,10.1007/978-3-662-67291-4
Intervallarithmetische Untersuchung der Beobachtbarkeit und Zustandsschätzung nichtlinearer Systeme,2021,Springer Fachmedien Wiesbaden,10.1007/978-3-658-33745-2
Computational Electromagnetics and Its Applications,1997,Springer Netherlands,10.1007/978-94-011-5584-7
Vertriebsprognosen,2014,Springer Fachmedien Wiesbaden,10.1007/978-3-658-05525-7
Motivation und Anerkennung im freiwilligen Engagement,2013,Springer Fachmedien Wiesbaden,10.1007/978-3-658-01753-8
Field-Programmable Logic and Applications From FPGAs to Computing Paradigm,1998,Springer Berlin Heidelberg,10.1007/bfb0055226
50 Years of Phytochemistry Research,2013,Springer International Publishing,10.1007/978-3-319-00581-2
The Teleoscopic Polity,2014,Springer International Publishing,10.1007/978-3-319-03128-6
"English Women’s Spiritual Utopias, 1400-1700",2022,Springer International Publishing,10.1007/978-3-031-00917-4
Plasmachemie — ein aktuelles Teilgebiet der präparativen Chemie. Bildung und Eigenschaften von Carbosilanen,1971,VS Verlag für Sozialwissenschaften,10.1007/978-3-663-01776-9
Pro-forma-Kennzahlen in der Berichterstattung kapitalmarktorientierter Unternehmen,2024,Springer Fachmedien Wiesbaden,10.1007/978-3-658-44396-2
Older South Asian Migrant Women’s Experiences of Ageing in the UK,2024,Springer International Publishing,10.1007/978-3-031-50462-4
Ik bepaal,2010,Bohn Stafleu van Loghum,10.1007/978-90-313-8345-0
Systemics of Emergence: Research and Development,2006,Springer US,10.1007/0-387-28898-8
Endoscopic Balloon Dacryoplasty in Congenital Nasolacrimal Duct Obstruction,2022,Springer Nature Singapore,10.1007/978-981-19-6109-0
Mechanical Engineering and Technology,2012,Springer Berlin Heidelberg,10.1007/978-3-642-27329-2
Immunoconjugate Therapy of Hematologic Malignancies,1993,Springer US,10.1007/978-1-4615-3076-3
Photovoltaic Power Generation,1983,Springer Netherlands,10.1007/978-94-009-7136-3
Coaching,2017,Springer Fachmedien Wiesbaden,10.1007/978-3-8349-3843-5
Advances in Computer Science and Ubiquitous Computing,2024,Springer Nature Singapore,10.1007/978-981-97-2447-5
Security and Privacy,2021,Springer Singapore,10.1007/978-981-33-6781-4
CO2 Injection in the Network of Carbonate Fractures,2021,Springer International Publishing,10.1007/978-3-030-62986-1
Integration of Combined Transport into Supply Chain Concepts,2014,Springer Fachmedien Wiesbaden,10.1007/978-3-8349-3958-6
Artificial Neural Networks and Machine Learning – ICANN 2023,2023,Springer Nature Switzerland,10.1007/978-3-031-44204-9
Designmethoden im Zeitalter ihrer technischen Reproduzierbarkeit,2023,Springer Fachmedien Wiesbaden,10.1007/978-3-658-41763-5
Demokratie und Soziale Arbeit,2022,Springer Fachmedien Wiesbaden,10.1007/978-3-658-36256-0
"The Evolution of the Political, Social and Economic Life of Cyprus, 1191-1950",2022,Springer International Publishing,10.1007/978-3-030-91839-2
The Challenge of Reframing Engineering Education,2014,Springer Singapore,10.1007/978-981-4560-29-0
Applied Cognitive Science and Technology,2023,Springer Nature Singapore,10.1007/978-981-99-3966-4
Computer in der Chemie,1984,Springer Berlin Heidelberg,10.1007/978-3-642-96803-7
River Hydraulics,2022,Springer International Publishing,10.1007/978-3-030-81768-8
Wireless Sensor Networks,2022,Springer Nature Singapore,10.1007/978-981-19-8350-4
Modeling and Management of Fuzzy Semantic RDF Data,2022,Springer International Publishing,10.1007/978-3-031-11669-8
Gynecological and Breast Cytopathology Board Review and Self-Assessment,2013,Springer New York,10.1007/978-1-4614-7270-4
Homeoffice,2022,Springer Fachmedien Wiesbaden,10.1007/978-3-658-38904-8
Ship Vibration 3,2025,Springer Nature Switzerland,10.1007/978-3-031-68078-6
Systems Biology of Apoptosis,2013,Springer New York,10.1007/978-1-4614-4009-3
Data Management Technologies and Applications,2021,Springer International Publishing,10.1007/978-3-030-83014-4
Fuzzy Rule-Based Inference,2024,Springer Nature Singapore,10.1007/978-981-97-0491-0
