titulo,anio_publicacion,editorial,tipo
Data Reduction and Error Analysis for the Physical Sciences,1993,,book
Spatial Data Science,2023,,book
Process Mining: Data Science in Action,2016,,book
High-Dimensional Probability: An Introduction with Applications in Data Science,2018,,book
Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking,2013,,book
Numerical data and functional relationships in science and technology,1969,,book
"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data",2016,,book
Foundations of Data Science,2020,,book
Introduction to HPC with MPI for Data Science,2016,,book
Data Science,2018,,book
Doing Data Science: Straight Talk from the Frontline,2013,,book
Fundamentals of Clinical Data Science,2018,,book
Python data science handbook: essential tools for working with data,2016,,book
Computational Optimal Transport: With Applications to Data Science,2019,,book
Supervised and Unsupervised Learning for Data Science,2019,,book
Targeted Learning in Data Science,2018,,book
"Computer age statistical inference: algorithms, evidence, and data science",2016,,book
Statistical Foundations of Data Science,2020,,book
The Data Science Design Manual,2017,,book
Bayesian Optimization and Data Science,2019,,book
Practical Data Science with R,2014,,book
"Data Science, Classification, and Related Methods",1998,,book
Data-Driven Science and Engineering,2019,,book
Data Science for Undergraduates,2018,,book
Data Science from Scratch: First Principles with Python,2015,,book
Data Science for Wind Energy,2019,,book
Advances in Data Science and Classification,1998,,book
Introduction to Data Science,2017,,book
Data science for business,2013,,book
"Data Science and Big Data Analytics: Discovering, Analyzing, Visualizing and Presenting Data",2015,,book
R for Data Science,2014,,book
Data Science,2018,,book
Analytics In A Big Data World: The Essential Guide To Data Science And Its Applications,2014,,book
Data Science for Business and Decision Making,2019,,book
Between Data Science and Applied Data Analysis,2003,,book
"Introducing Data Science: Big Data, Machine Learning, and more, using Python tools",2016,,book
"Emerging Trends in Artificial Intelligence, Data Science and Signal Processing",2025,,book
Data Science and Predictive Analytics,2018,,book
Data Science and Machine Learning,2019,,book
The Data Science Handbook,2017,,book
Introduction to Data Science,2019,,book
Data Science and Classification,2006,,book
Spatial Data Analysis in the Social and Environmental Sciences,1990,,book
Applied Data Science in Tourism,2022,,book
Principles of Data Science,2020,,book
Data Science &amp; Big Data Analytics,2015,,book
Doing Data Science,2013,,book
Data Science for Healthcare,2019,,book
Data-Driven Science and Engineering,2022,,book
Computing competencies for undergraduate data science curricula,2021,,book
